NUM,OUT_DM,deviation_48H_value,prediction_48H_value,RATIO_6H,RATIO_12H,RATIO_24H,RATIO_32H,RATIO_48H,RATIO_72H,newpeople,weekend,Total_edwin,Eme_edwin,Tra_edwin,Ped_edwin,Total_people,Total_people1,Total_people2,Total_people3,Total_people4,Total_people5,Eme_people,Eme_people1,Eme_people2,Eme_people3,Eme_people4,Eme_people5,Tra_people,Tra_people1,Tra_people2,Tra_people3,Tra_people4,Tra_people5,Ped_people,Ped_people1,Ped_people2,Ped_people3,Ped_people4,Ped_people5,Total_Rbed,Eme_Rbed,Tra_Rbed,Ped_Rbed,Total_Pboard,Eme_Pboard,Tra_Pboard,Ped_Pboard,Total_Fever,Eme_Fever,Tra_Fever,Ped_Fever,Total_Doctor,Eme_Doctor,Tra_Doctor,Ped_Doctor,Occupation_rate
---,------,-------------------,--------------------,--------,---------,---------,---------,---------,---------,---------,-------,-----------,---------,---------,---------,------------,-------------,-------------,-------------,-------------,-------------,----------,-----------,-----------,-----------,-----------,-----------,----------,-----------,-----------,-----------,-----------,-----------,----------,-----------,-----------,-----------,-----------,-----------,----------,--------,--------,--------,------------,----------,----------,----------,-----------,---------,---------,---------,------------,----------,----------,----------,---------------
1,2021-07-27 12:01:00.177,5.1918667722637105E-2,-7.9934912393431756E-2,50.0,39.700000000000003,20.599999999999998,11.799999999999999,1.5,0.0,7,0,0.20499999999999999,0.312,1.222,0.58299999999999996,64,6,20,38,0,0,55,6,18,31,0,0,7,0,1,6,0,0,2,0,1,1,0,0,112,90,10,12,13,12,1,0,16,14,0,2,11,8,2,1,1.038
2,2021-07-27 13:01:00.210,-2.0028952522063659E-2,-0.18030344234023205,46.5,42.299999999999997,25.399999999999999,11.300000000000001,1.4000000000000001,0.0,8,0,0.22600000000000001,0.33900000000000002,1.611,0.58299999999999996,67,7,22,38,0,0,56,7,19,30,0,0,9,0,2,7,0,0,2,0,1,1,0,0,112,90,10,12,17,16,1,0,18,16,0,2,11,8,2,1,1.0569999999999999
3,2021-07-27 14:01:00.203,-0.24154248540030201,-0.32840554041787801,44.399999999999999,43.100000000000001,26.400000000000002,11.1,1.4000000000000001,0.0,3,0,0.214,0.33900000000000002,0.94999999999999996,0.58299999999999996,63,7,21,35,0,0,55,7,19,29,0,0,6,0,1,5,0,0,2,0,1,1,0,0,112,90,10,12,17,17,0,0,18,16,0,2,11,8,2,1,1.038
4,2021-07-27 15:01:00.220,-0.3776222302466109,-0.23444479210830674,47.599999999999994,44.399999999999999,28.599999999999998,12.699999999999999,3.2000000000000002,0.0,1,0,0.16600000000000001,0.26800000000000002,0.65000000000000002,0.33300000000000002,50,4,16,30,0,0,45,4,14,27,0,0,4,0,1,3,0,0,1,0,1,0,0,0,112,90,10,12,17,17,0,0,14,13,0,1,11,8,2,1,0.84899999999999998
5,2021-07-27 16:01:00.240,-0.25854550735561632,0.10475433948246488,41.299999999999997,33.300000000000004,20.599999999999998,9.5,3.2000000000000002,0.0,11,0,0.16500000000000001,0.251,0.84999999999999998,0.66600000000000004,52,4,14,34,0,0,45,4,10,31,0,0,5,0,2,3,0,0,2,0,2,0,0,0,112,90,10,12,14,14,0,0,14,12,0,2,11,8,2,1,0.84899999999999998
6,2021-07-27 17:01:00.230,7.0284966908968766E-2,0.15843427183218781,43.899999999999999,24.600000000000001,15.800000000000001,7.0000000000000009,3.5000000000000004,0.0,4,0,0.16700000000000001,0.25600000000000001,0.84999999999999998,0.66600000000000004,53,4,15,33,1,0,46,4,11,30,1,0,5,0,2,3,0,0,2,0,2,0,0,0,112,90,10,12,14,14,0,0,12,10,0,2,11,8,2,1,0.86799999999999999
7,2021-07-27 18:01:00.247,0.11983287357983435,0.39684841298190698,47.399999999999999,21.099999999999998,15.800000000000001,7.0000000000000009,5.2999999999999998,0.0,5,0,0.13400000000000001,0.20399999999999999,0.80000000000000004,0.33300000000000002,44,2,11,30,1,0,38,2,9,26,1,0,5,0,1,4,0,0,1,0,1,0,0,0,112,90,10,12,13,13,0,0,8,7,0,1,11,8,2,1,0.71699999999999997
8,2021-07-27 19:01:00.233,-0.26597676211940918,-0.19926533376825969,42.0,14.000000000000002,10.0,4.0,4.0,0.0,7,0,0.13200000000000001,0.20599999999999999,0.5,0.58299999999999996,43,2,11,30,0,0,38,2,9,27,0,0,3,0,1,2,0,0,2,0,1,1,0,0,112,90,10,12,13,13,0,0,12,8,2,2,11,8,2,1,0.71699999999999997
9,2021-07-27 20:01:00.257,-3.2206751151418724E-2,-0.11856149668319209,41.699999999999996,12.5,8.3000000000000007,4.2000000000000002,4.2000000000000002,0.0,4,0,0.12,0.19600000000000001,0.34999999999999998,0.25,39,2,10,27,0,0,36,2,9,25,0,0,2,0,1,1,0,0,1,0,0,1,0,0,112,90,10,12,13,13,0,0,13,10,2,1,11,8,2,1,0.67900000000000005
10,2021-07-27 21:01:00.220,-0.15501377401277039,-0.12756495098727072,42.199999999999996,13.300000000000001,8.9000000000000004,6.7000000000000002,4.3999999999999995,0.0,6,0,0.16500000000000001,0.28399999999999997,0.94999999999999996,0.25,38,1,14,23,0,0,32,1,10,21,0,0,5,0,4,1,0,0,1,0,0,1,0,0,112,90,10,12,14,14,0,0,10,7,2,1,8,5,2,1,0.60399999999999998
11,2021-07-27 22:01:00.260,-0.19643658506686967,1.5559681367803585E-2,43.5,17.399999999999999,8.6999999999999993,8.6999999999999993,4.2999999999999998,0.0,9,0,0.189,0.30599999999999999,1.45,0.25,43,1,16,26,0,0,34,1,11,22,0,0,8,0,5,3,0,0,1,0,0,1,0,0,112,90,10,12,15,15,0,0,11,7,3,1,8,5,2,1,0.64200000000000002
12,2021-07-27 23:01:00.247,0.22981388874487022,0.60648927400854169,40.799999999999997,24.5,8.2000000000000011,8.2000000000000011,4.1000000000000005,0.0,6,0,0.19500000000000001,0.35599999999999998,0.90000000000000002,0.0,44,1,16,27,0,0,39,1,13,25,0,0,5,0,3,2,0,0,0,0,0,0,0,0,112,90,10,12,16,16,0,0,10,8,2,0,8,5,2,1,0.73599999999999999
13,2021-07-28 00:01:00.240,-5.2921263753905531E-2,-0.21831991301015119,46.700000000000003,31.100000000000001,8.9000000000000004,8.9000000000000004,4.3999999999999995,0.0,2,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,90,10,12,0,0,0,0,0,0,0,0,8,5,2,1,0.0
14,2021-07-28 01:01:00.253,-0.13758662834655688,-5.1627117852663967E-2,43.5,30.399999999999999,13.0,8.6999999999999993,4.2999999999999998,0.0,4,0,0.21099999999999999,0.42499999999999999,0.80000000000000004,0.0,43,1,11,31,0,0,38,1,10,27,0,0,5,0,1,4,0,0,0,0,0,0,0,0,112,90,10,12,16,16,0,0,9,8,1,0,7,4,2,1,0.71699999999999997
15,2021-07-28 02:01:00.280,-0.20258865408838964,-0.24568892431529893,40.699999999999996,25.900000000000002,11.1,7.3999999999999995,3.6999999999999997,0.0,9,0,0.26000000000000001,0.50600000000000001,1.05,0.33300000000000002,51,2,18,31,0,0,44,2,14,28,0,0,6,0,3,3,0,0,1,0,1,0,0,0,112,90,10,12,16,16,0,0,11,8,2,1,7,4,2,1,0.82999999999999996
